L1c;L1b;L1a;L2c;L2b;L2a;L2prf;TLBe;TLBp;TLBa;IPC;Total_Instructions;Total_Cycles;L1-Total-Misses;L1-Load-Misses;L1-Store-Misses;L2-Total-Misses;L2-Load-Misses;L2-Store-Misses;Tlb-Total-Misses;Tlb-Load-Misses;Tlb-Store-Misses;
32;64;8;1024;128;8;1;64;4096;4;0.412795;4355791090;10551957102;0.46;0.55;0.2;24.12;23.11;32.72;3.44;3.91;2.05;
32;64;8;1024;128;8;2;64;4096;4;0.411145;4355791071;10594299724;0.47;0.56;0.2;23.9;22.89;32.55;3.47;3.91;2.18;
